,name,time,tweet,Source,Likes,RTs,Localization
0,𝗮𝗹𝗺𝗼𝗳𝗮𝗱𝗶𝗻𝗵𝗮𝘀 𖧶,2022-10-04 00:55:06+00:00,"pessoal do votei Ciro e Tebet, sejam bem-vindos à trincheira de Lula CONTRA Bolsonaro, esse não é o momento de ress… https://t.co/XGVLfXnL4s",Twitter for Android,0,0,🉀 . . . 🗯️ % あなたの目は空が本当に立っているかどうか私を疑っています ꒰ ♥︎ ꒱ それがあなたのものであるという理由だけで、私はあなたの細部が大好きです × _ × ¿¡ ##𝐋𝐄𝐄𝐅𝐄𝐋𝐈𝐗
1,A13x ⭐️🚩,2022-10-04 00:54:51+00:00,"Se vc apoia Ciro, Lula, Tebet é posição política que faz parte mas agora sera favor ao Bolsonaro eu posso afirmar q… https://t.co/IXmnfmqnBq",Twitter for iPhone,0,0,"zø, rj"
2,Jimmi,2022-10-04 00:54:11+00:00,"""Ainda bem que a natureza criou o coronavirus""
É esse lixo que querem reeleger. 
Lula
Nordeste 
Zema 
Ciro e tebet… https://t.co/1QhS2J3nYH",Twitter for Android,0,0,
3,PESCADOR PARRUDO é LULA 13,2022-10-04 00:53:00+00:00,"@da_ener @Gabriel_Laye É só ler a análise pra presidente meu parceiro
Lula tinha entre 48 e 52 na Margem de erro

B… https://t.co/E2aUKdHB25",Twitter Web App,1,0,Santa Rosa do Pipoco
4,Caroline 🇺🇦,2022-10-04 00:52:09+00:00,"Ciro tebet lula bolsonaro , inacreditável, eleições , guerra #Eleicao2022 #LulaNoSegundoTurno… https://t.co/iQ3InR033Y",Twitter for iPhone,0,0,
5,gust,2022-10-04 00:49:57+00:00,"@roxmo Foi exatamente em Lula que votaram. O tal ""voto útil"" que o condenado falou tanto.
Tebet e Ciro levaram os v… https://t.co/mxXh8d0eQQ",Twitter for Android,0,0,Brasil
6,Felipe Maciel,2022-10-04 00:48:36+00:00,"@GbrielMachado_ @acerola_isa Boa noite, amigão. A última pesquisa da IPEC dava 51% para o Lula, com margem de erro… https://t.co/7iXvgdnVb4",Twitter for Android,0,1,
7,Eliel Santana ᶜʳᶠ,2022-10-04 00:48:00+00:00,"A pesquisas explicando que, os eleitores de Ciro e Simone Tebet resolveram decidir votar no bolsonaro de última hor… https://t.co/XojAKjMEUr",Twitter for Android,1,0,"Ariquemes, Rondônia"
8,Edson da Costa,2022-10-04 00:46:48+00:00,"@roxmo Eles são invertidos...é o contrário, quem seria 'voto útil' para o Lula já votou no primeiro turno, os demai… https://t.co/fwUDmymjUi",Twitter Web App,0,0,
9,Marcos,2022-10-04 00:46:37+00:00,"RESULTADO VERDADEIRO:

Lula- 36,6%
Bolsonaro- 32,6%

Abstenções, brancos e nulos- 24,4%

Tebet e Ciro- 7,2%",Twitter for Android,0,0,Brasil
10,Rafael A. Moreno,2022-10-04 00:45:42+00:00,"Aos que estão dizendo:
""Votei no Ciro, agora vou no Lula"".
""Votei na Tebet, agora voto no Lula"".
Bem vindos, pessoa… https://t.co/HRlTiRTUIR",Twitter for Android,4,0,"Rio de Janeiro, Brasil"
11,Thanos_de_Taubaté,2022-10-04 00:45:35+00:00,@Presidentrampo @Bianca25807553 @bernardokuster2 Sinceramente acho improvável. Lula segundo as pesquisas iria ganha… https://t.co/7LGIEYwYts,Twitter for Android,0,0,
12,Ozenilton Melo,2022-10-04 00:45:16+00:00,@BrunoGiovanni Pois é. Por exemplo : se o objetivo do eleitor de Ciro/ Tebet  era impedir uma vitória de lula no pr… https://t.co/RYMrzS8ehT,Twitter for iPhone,0,0,
13,Leonardo Sakamoto,2022-10-04 00:44:22+00:00,"Bolsonaro chama Lula e Ciro pelo nome, mas às mulheres ele dá apelidos depreciativos: Estepe (Tebet) e Trambique (T… https://t.co/cHv4EURWem",Twitter for iPhone,761,150,Brasil
14,Dalila / 달릴라,2022-10-04 00:43:15+00:00,"@delucca Se o Lula ganhar, eu queria que todos  os 4 principais candidatos recebecem cargos... Ciro e Tebet de mini… https://t.co/tDSutTqxDL",Twitter for Android,2,0,
15,Rafa Mendes,2022-10-04 00:42:38+00:00,@Washingttooon @queenecv @matheusbarbaco @G_Guerreiro0 @Bruno_fsan Bolsonaro e Lula são mais qualificados que Tebet… https://t.co/os5LNCSPQC,Twitter Web App,0,0,Salvador-Ba
16,AJ&M Tuscany Research,2022-10-04 00:41:49+00:00,"Ninguém da imprensa está divulgando o resultado dos votos totais, apenas dos votos válidos. Lá vai:
Lula 46,29%
Bol… https://t.co/q7Bz37d3bd",Twitter for Android,0,0,"São Paulo, Brasil"
17,GUI RAMOS 2A 🎤,2022-10-04 00:39:42+00:00,"Ciro e Tebet vão se aliar ao Lula pro segundo turno.
Até nunca mais pro Bolsonaro 🤣👋🏾 https://t.co/W2qicHGjBK",Twitter for iPhone,3,0,Porto Alegre - RS
18,Alan Furtado,2022-10-04 00:39:24+00:00,"@Damadeferroofic Datafolha e Ipec disseram que as pesquisas deles prejudicaram o lula
🤣🤣🤣
Pois quem votava no Ciro… https://t.co/q4fohlR4ut",Twitter Web App,0,0,
19,Vivi ☔ Lula 13 ☆,2022-10-04 00:37:43+00:00,"Segundo o JN, as discrepâncias entre as pesquisas e os resultados foi porque de última hora os brancos e nulos e aq… https://t.co/GUTaJ485gz",Twitter for Android,0,0,"João Pessoa, Brasil"
20,Juan Ferreira,2022-10-04 00:37:04+00:00,"@fiel_zen To vendo aqui, eles falam que os eleitores de Ciro e Tebet votaram em Bolsonaro pra evitar vitoria de Lul… https://t.co/jvBu1brRlk",Twitter for Android,1,0,Brazil
21,t,2022-10-04 00:36:40+00:00,vcs que votaram na Simone Tebet ou Ciro Gomes no primeiro turno e vão votar Lula no segundo por um bem maior (tirar… https://t.co/6QhQCrpyCO,Twitter for Android,44,4,
22,Léo,2022-10-04 00:36:35+00:00,"Lula está unindo Marina Silva, Simone Tebet, Geraldo Alckmin, Ciro Gomes, Joaquim Barbosa, Dilma Rousseff, Henrique… https://t.co/WHc7bONQCr",Twitter for Android,2,1,
23,a que pena sereia,2022-10-04 00:36:22+00:00,Bolsonaro nunca mais! O Ciro nunca se juntaria com esse genocida!! Ciro em 2026 meu voto é esse. Esse ano é Lula pa… https://t.co/mkf2N9q1Qd,Twitter for iPhone,8,2,
24,🌹Ana 🌹#BrasilDaEsperança,2022-10-04 00:36:16+00:00,Quem não migrou o voto de Tebet/Ciro para o Bolsonaro é que pode garantir ao Lula a sua vitória neste segundo turno… https://t.co/GssVXUVOcg,Twitter Web App,1,0,SP - BSB - AM - VIX - Paris 
25,taisa 🤔,2022-10-04 00:35:31+00:00,O IPEC e o DataFolha falaram que as pesquisas estimulou os eleitores de Tebet e Ciro irem no Bolsonaro pro Lula não… https://t.co/HEjWHjKQvV,Twitter for Android,6,0,Plutão no céu da meia noite
