,name,time,tweet,Source,Likes,RTs,Localization
0,imciclopediia,2022-11-10 23:54:19+00:00,Eu votei no Bolsonaro por Respeito a Minha Família e ao meu Pae q Voto No Bolsonaro e Algums dos Meus Familiares nã… https://t.co/hwDs2dcxOb,Twitter for Android,0,0,
1,Carol'sGoingtoHell,2022-11-10 23:54:19+00:00,"@edisneioliveira @UOLNoticias Se vc votou no Bolsonaro, então vc acreditou num ex condenado
Seguindo a sua lógica,… https://t.co/uNDCy7qd89",Twitter for Android,0,0,Brasil
2,insta: @enkijr,2022-11-10 23:54:19+00:00,"As opções eram:
- Lula começando o governo com furo do teto.

- Bolsonaro furando teto pela sexta vez, com mais 4 a… https://t.co/VQpQWXuaNa",Twitter for Android,0,0,"Campo Grande, Brazil"
3,Fredson Holanda,2022-11-10 23:54:18+00:00,@realpfigueiredo Ate os eleitores do Bolsonaro os que não são fanáticos são contrários essas atitudes. Param já foi esperem 2026,Twitter for iPhone,0,0,
4,r.caio,2022-11-10 23:54:17+00:00,@Ricamconsult Bolsonaro fala palavrão.... e teve os melhores ministros e corpo executivo de todos os tempos no governo do Brasil,Twitter for Android,0,0,
5,Luigi Lambrim 🇦🇺,2022-11-10 23:54:17+00:00,@advogadoboscov @igorfalconieri @Wescrey Hahahahahshshshshshs pra vc ver que o que o Lula propôs é pior do que o Bolsonaro fez...,Twitter Web App,0,0,
6,Lula 13,2022-11-10 23:54:17+00:00,"Jamil Chade - Ausente de cúpulas, Bolsonaro tem fim melancólico de seu governo no mundo https://t.co/ngf5Wgb5fv via @UOLNoticias @UOL",Twitter for iPhone,0,0,
7,Mariana ᶜʳᶠ,2022-11-10 23:54:15+00:00,"@filipesabara Fico aqui imaginando se essa frase saísse da boca do Bolsonaro, a mídia estaria estética",Twitter for iPhone,0,0,clube regatas do flamengo
8,Carlinhos,2022-11-10 23:54:15+00:00,@mevang12 @henriolliveira_ Ah!!! Em que mundo você vive criatura? Quem apoia o Bolsonaro não pode falar nada de nin… https://t.co/dj9bySOlck,Twitter for iPhone,0,0,"Rio de Janeiro, Brasil"
9,ROBOLSONARA!,2022-11-10 23:54:15+00:00,@Lua37066747 @PhatriciaCristi @BrunaSchneide Já viu o vídeo de um casal sendo espancado por ter votado no Bolsonaro… https://t.co/OGsH6coZc7,Twitter for Android,0,0,Estados Unidos
10,Martinho Pontes,2022-11-10 23:54:14+00:00,@TerraBrasilnot Era Bolsonaro que falava besteira? Mas fazia as coisas certas. Lula fala bonito e para a plateia e… https://t.co/2eSltSOSiM,Twitter for Android,0,0,"Ananindeua, Brasil"
11,Kellen Cristiane Scheidt,2022-11-10 23:54:13+00:00,"@parrahenri INFLAÇÃO SUBIU
BOLSONARO SUMIU",Twitter for Android,0,0,"Palhoça, Brasil"
12,Natanael Sílva,2022-11-10 23:54:11+00:00,"Os eleitores do Lula ladrão,batendo nos eleitores do presidente Jair Messias Bolsonaro. https://t.co/NZuxPS6jg1",Twitter for Android,0,0,
13,ANA MARIA LONGO GORDILGO,2022-11-10 23:54:11+00:00,"A nossa 1a. Dama Michelle Bolsonaro exerceu e exerce ainda o seu papel com postura, elegância, simpatia e desenvolv… https://t.co/jWAhFWB6wi",Twitter for Android,0,0,
14,yPadilha,2022-11-10 23:54:09+00:00,"E em lembrar que até ontem estávamos usando adesivos no peito, nas ruas e tweetando Fora Bolsonaro e hoje isso é uma realidade",Twitter for Android,0,0,Manaus/Am
15,Mari Lessa,2022-11-10 23:54:09+00:00,"@ocarlosjdias Irmão, erros acontecem ainda mais em um contexto de crise mundial. Mas ainda sim teve pulso firme e n… https://t.co/Qz4pBcGHmH",Twitter for iPhone,0,0,"Recife, Brasil"
16,williansdesousa,2022-11-10 23:54:09+00:00,"Cartão corporativo de Bolsonaro teve aumento de 108%, afirma deputado do PSB.💳",Twitter Web App,0,0,"Santo André, Brasil"
17,kayce Rice,2022-11-10 23:54:08+00:00,@UOLNoticias O Brasil está dando errado desde quando colocaram um maluco chamado bolsonaro como presidente https://t.co/V0xsqF1wgW,Twitter for Android,0,0,
18,Gi Brasileira 🇧🇷🇮🇱🇧🇷💛💚,2022-11-10 23:54:08+00:00,"@BRavanca @pyro9922 @DuasVezes1 @felipeneto Bolsonaro reunido com generais e comandantes.
💚💛🇧🇷",Twitter for Android,0,0,Estados Unidos
19,pseudo influencer,2022-11-10 23:54:08+00:00,"Fui cortar o cabelo indagora e tinha um idoso com bone de bolsonaro saindo, sentei pra cortar pois ele ficou la em… https://t.co/pPSDk7l3xT",Twitter for Android,0,0,Teresina
20,Pedro Sangi,2022-11-10 23:54:07+00:00,@raphaela1908 O galo e o Bolsonaro foi roubados,Twitter for Android,0,0,
21,Felipe Moraes,2022-11-10 23:54:07+00:00,Mais uma prova que a imprensa direitista brasileira criou Bolsonaro. Lula mal assumiu e olha as merdas que eles pos… https://t.co/yyr9qUiesJ,Twitter for iPhone,0,0,"Simões Filho, BA"
22,Alfredo Suppia,2022-11-10 23:54:05+00:00,"Derrotados, Bolsonaro e Casta Militar atiçam encenação golpista e hister... https://t.co/Mh5d7JFBq9 via @YouTube",Twitter Web App,0,0,
23,Gilmar D M,2022-11-10 23:54:05+00:00,"@Elainnefaria1 Afinal, parece que a reunião foi fake...gostam de iludir o povo que perde tempo na frente de quartel… https://t.co/18k3FoAMBC",Twitter for Android,0,0,
