,name,time,tweet,Source,Likes,RTs,Localization
0,......,2022-11-11 00:46:39+00:00,"@GRechMacro Jura que a galera que engoliu Ernesto Araujo, Damares, Weintraub, Milton Ribeiro, Onix, Ciro Nogueira,… https://t.co/oGQRtQp8Ur",Twitter Web App,0,0,Angola 
1,Thadeu,2022-11-11 00:46:37+00:00,"@brittojr Como diz o Ciro, o Molusco é um encantador de serpentes.",Twitter for Android,0,0,"São Paulo, Brasil"
2,Geo Alves,2022-11-11 00:46:35+00:00,@ciro_nogueira O Bolsonaro ter sido Presidente? Realmente é Inacreditável mesmo.. mas o pesadelo Acabou que o Lula foi Eleito.,Twitter for Android,0,0,"Recife, Brasil"
3,Craycray escuta a melodia do universo,2022-11-11 00:46:34+00:00,ciro ja virou,Twitter Web App,0,0,Sendo Feliz
4,Rejane Melo,2022-11-11 00:46:28+00:00,@ValdeirSOUPAZ @AntonioCEvan @ciro_nogueira Verdade verdadeira...é só ir lá no canal dele. O próprio postou.,Twitter for Android,0,0,
5,Luiz Carlos,2022-11-11 00:46:26+00:00,@ciro_nogueira Inacreditável o vai acontecer 🙏,Twitter for Android,0,0,
6,personalcarvalho🇧🇷2️⃣2️⃣,2022-11-11 00:46:25+00:00,@ciro_nogueira Tenha mais responsabilidade. O senhor é um Ministro de Estado. Pare com essas palhaçadas. Estamos de… https://t.co/ORUSh34Yi2,Twitter for iPhone,0,0,"Rio de Janeiro, Brasil"
7,Misaque,2022-11-11 00:46:25+00:00,@o_antagonista Ciro nogueira,Twitter for Android,0,0,Lua
8,Gilson,2022-11-11 00:46:24+00:00,@ciro_nogueira Sim. ART 142 para por ordem nessa porra que vcs políticos não enquadraram o judiciário,Twitter for Android,0,0,
9,Rodolfo Mateus,2022-11-11 00:46:08+00:00,@ciro_nogueira O que Homi ??,Twitter for iPhone,0,0,
10,Sonia Nakazato,2022-11-11 00:46:07+00:00,"@ciro_nogueira ""MESMO QUANDO O CAMINHO PARECER DIFÍCIL,SIGA FIRME EM SUA CAMINHADA POIS VENCERÁ.NUNCA DESISTA DOS S… https://t.co/rZSOoosqzl",Twitter for Android,0,0,
11,None close,2022-11-11 00:46:04+00:00,"@VaGrangeiro @ciro_nogueira Kkkkkkkkkkkkkkkkk

Chorrindo até 2026",Twitter Web App,0,0,
12,Iago nicacio,2022-11-11 00:45:59+00:00,"@ciro_nogueira A última vez você fez um tweet 50,1 mais o que não sabíamos era que era para o outro lado!!",Twitter for Android,0,0,
13,Mônica Barros,2022-11-11 00:45:59+00:00,"@kimpaim Chora Bozolino... lkkkk já era o bando Ernesto Araujo, Damares, Weintraub, Milton Ribeiro, Onix, Ciro Nogu… https://t.co/vfGLZjFESj",Twitter for iPhone,0,0,Brazil
14,Lucjo,2022-11-11 00:45:59+00:00,@ciro_nogueira O Cid... vou te mandar a real... nós que apoiamos bolsonaro estamos de olho em você.  Estamos vendo… https://t.co/bmJJzSIei4,Twitter for Android,0,0,
15,Marcio Baixada,2022-11-11 00:45:51+00:00,@ciro_nogueira Não acredito!,Twitter for Android,0,0,
16,Bianca,2022-11-11 00:45:46+00:00,@ciro_nogueira Conta... O que? 🤔,Twitter for Android,0,0,
17,Ines via,2022-11-11 00:45:46+00:00,@ciro_nogueira Q o povo brasileiro um dia ia descobrir a força q tem.,Twitter for Android,0,0,
18,alexandre pascuin 🇧🇷🇮🇱🇾🇪,2022-11-11 00:45:45+00:00,"@ciro_nogueira Inacreditável e ver você de sorrisinho com o maior ladrão de todos os tempos, tenha um pouco de cará… https://t.co/Ql9o2ztzOv",Twitter for Android,0,0, Brasil
19,Conttwbra30é22,2022-11-11 00:45:43+00:00,"@J58Jaco @botderelogio @ciro_nogueira Tem um maluco que se diz ser o bot do relógio, logo logo ele vai retweetar es… https://t.co/F8L9FJzUyA",Twitter for Android,1,1,
20,Bianca Lombardi 🇧🇷🇮🇹,2022-11-11 00:45:42+00:00,@FlavioM12927955 @andrezinhoxote @ciro_nogueira Em q mundo paralelo vc vive? Faria Lima apoiando Lula. Banqueiro ap… https://t.co/KzqPtApJ8L,Twitter for iPhone,0,0,
21,Rejane Melo,2022-11-11 00:45:42+00:00,@tabi_sm @AntonioCEvan @ciro_nogueira É verdade...é só ir lá no canal dele.,Twitter for Android,0,0,
22,patriota verdadeiro.,2022-11-11 00:45:39+00:00,@holimargodoy @ciro_nogueira O bozo tá aonde?,Twitter for Android,0,0,
23,EF 🇧🇷🇧🇷🇧🇷🇧🇷,2022-11-11 00:45:38+00:00,@ciro_nogueira O que é inacreditável? Algo real ou tic tac?,Twitter for iPhone,0,0,"Florida, USA"
24,Diacono pernanente Wild.,2022-11-11 00:45:37+00:00,@ciro_nogueira Ja mudou de lado né?,Twitter for Android,0,0,
25,GerSoN FeItOsA,2022-11-11 00:45:36+00:00,"@ciro_nogueira Vai cuidar de fazer a transição e vazar daí, já vão tarde!!!",Twitter for iPhone,0,0,"Manaus, Amazonas, Brasil "
26,Gabriel Monteiro M. Bergamini,2022-11-11 00:45:33+00:00,@ciro_nogueira Inacreditável tem sido uma palavra usual após essas eleições... Os abutres voltaram ao poder. E até Cabral voltou às ruas,Twitter for Android,0,0,
27,Waltinho ruindade pura,2022-11-11 00:45:29+00:00,@Kziozek1 @Supp3rcoffee @paginasemnome__ Fumar aquele que deixou o Ciro Gomes,Twitter for Android,0,0,na sua mente 
28,El Moda,2022-11-11 00:45:28+00:00,@ciro_nogueira Parou o relógio?,Twitter for iPhone,1,1,Uberândia
29,Mary Purcino,2022-11-11 00:45:25+00:00,@ciro_nogueira @GlaucioOra Vc aconselhou o presidente a reconhecer a vitória fajuta do ladrão?,Twitter for Android,0,0,Estados Unidos
30,None close,2022-11-11 00:45:25+00:00,"@andrezinhoxote @ciro_nogueira Kkkkkbolsonaro eh legal demais 

Merece tá preso 
Bem guardado",Twitter Web App,0,0,
31,Duarte com LULA1️⃣3️⃣,2022-11-11 00:45:22+00:00,@ciro_nogueira Pode acreditar é um faixa pior que a outra https://t.co/GUJxAw6Gvp,Twitter for iPhone,0,0,São Paulo
32,Eneida Carvalho,2022-11-11 00:45:16+00:00,"@ciro_nogueira O que,",Twitter for Android,0,0,
33,Katia Brum,2022-11-11 00:45:13+00:00,"@aspasia_maria @ciro_nogueira Presidente de vocês não trabalha,gasolina só tava barata pro miliciano velho se eleger.",Twitter for Android,0,0,"Rio Grande, Brasil"
34,Rodrigo Rocha,2022-11-11 00:45:03+00:00,@brittojr É… Ciro estava certo. Um encantador de serpentes 🤷🏼,Twitter for iPhone,0,0,"Goiânia, Goiás, Brasil"
35,Luelton Bezerra,2022-11-11 00:45:02+00:00,@ciro_nogueira Também acho https://t.co/IGKIEqAv8b,Twitter Web App,0,1,
36,Rejane Melo,2022-11-11 00:45:02+00:00,@tiozaodapremier @AntonioCEvan @ciro_nogueira Está falando do Bolsonaro nada... tanto q ele cita a pec da transição… https://t.co/ZtJJEdkPQz,Twitter for Android,0,0,
37,Gaspar Almeida,2022-11-11 00:44:58+00:00,"@ciro_nogueira Se não tiver o que dizer, o silêncio é o melhor caminho. Nós, o povo, estamos tensos, preocupados, c… https://t.co/2WdqGUriAL",Twitter for Android,0,0,
38,Flora de Oliveira Bolsonaro 22🇧🇷,2022-11-11 00:44:46+00:00,@ciro_nogueira O que?  O Sr. pode dizer?,Twitter Web App,0,0,
39,mariel pedroso,2022-11-11 00:44:41+00:00,@ciro_nogueira O que é inacreditável é ter um presidente corrupto ladrão condenado em três instâncias e responde ma… https://t.co/EqY64Dvokw,Twitter for Android,0,0,
40,Mello 🇧🇷🇧🇷🇧🇷,2022-11-11 00:44:39+00:00,@ciro_nogueira Ficou sabendo também? Te prepara que tem mais,Twitter for Android,0,0,"Rio Grande do Sul, Brasil"
41,Thiago Verdade,2022-11-11 00:44:38+00:00,@ciro_nogueira O Tic Tac que vc fazia era anunciando a bomba que seria Lula?,Twitter for iPhone,0,0,"Rio de Janeiro, Brasil"
42,Bianca Lombardi 🇧🇷🇮🇹,2022-11-11 00:44:29+00:00,"@MariaCelinaDudu @andrezinhoxote @ciro_nogueira Oi, Maria. O que vc acha do nosso sistema eleitoral? Vc acha confiá… https://t.co/rWFdFg7wSs",Twitter for iPhone,1,0,
43,Patriota 🇧🇷,2022-11-11 00:44:29+00:00,@ciro_nogueira Posta foto pelo menos está mais fácil de entender! 🤔,Twitter Web App,1,0,
44,ramirofernandezb,2022-11-11 00:44:28+00:00,@agus_rojas0 te falto ciro,Twitter for Android,0,0,
45,Micheli 🇧🇷,2022-11-11 00:44:27+00:00,"@absolom26823680 @ciro_nogueira Ahan ,o próprio! Tava procurando o print que salvei mas não tô achando 😂",Twitter for Android,0,0,Brazil
46,Cath 🇧🇷22,2022-11-11 00:44:23+00:00,@roxmo @AnnaStein240177 Esse aí é um enganador  profissional com disse o Ciro Gomes! Já vi ele dizendo que político… https://t.co/CsDWTB7zha,Twitter for iPhone,0,0,"Rio de Janeiro, Brasil"
47,Jane Cintra,2022-11-11 00:44:19+00:00,@ciro_nogueira Cadê o tic tac? A gente está esperando.,Twitter for iPhone,0,0,"Juiz de Fora, Brasil"
48,Márcio André,2022-11-11 00:44:15+00:00,"@ciro_nogueira Eu de otário seguindo o seu TIC TAC, mas entende que houve fraude e vc tinha razão, talvez o inacred… https://t.co/qK1uQiyifL",Twitter for Android,0,0,
49,Elivane Nascimento,2022-11-11 00:44:09+00:00,@ciro_nogueira Apareceu é @ciro_nogueira  já passou para o lado do larápio 😡?,Twitter for iPhone,1,0,Estados Unidos
50,Bellinha,2022-11-11 00:44:03+00:00,@ciro_nogueira Estamos de olho em vc @ciro_nogueira vc no centrão. Brasil derretendo,Twitter for iPhone,0,0,"Belo Horizonte, Brasil"
51,Bruno Ambrozio teixeira Ambrozio,2022-11-11 00:43:56+00:00,@ciro_nogueira Tic tac tic tac PERDEUUUUUU COM TODO ESTELIONATO ELEITORAL.  FICOU FEIO DEMAIS KKKKKKKK CHORAAAAA LULA É O TERROR MESMO.,Twitter for Android,0,0,
52,Camila Prates,2022-11-11 00:43:52+00:00,@ciro_nogueira Só Deus pra ter misericórdia 😔.. só estrago,Twitter for Android,0,0,
53,🇧🇷RMS🇧🇷,2022-11-11 00:43:52+00:00,@yuri_martins13 @ciro_nogueira Ele acertou as caixinhas q erraram.,Twitter for Android,0,0,
54,CABO RODRIGUES,2022-11-11 00:43:48+00:00,@ciro_nogueira @ciro_nogueira! fala sério.,Twitter Web App,0,0,
55,dilma comendo um dogginho,2022-11-11 00:43:47+00:00,"@PillRodrigo @ciro_nogueira Se isso aconteceu no primeiro turno é normal, filas enormes, eu só consegui votar já er… https://t.co/nj6oyjr9PI",Twitter Web App,0,0,Xandaquistão do Sul
56,Danyela 🇧🇷,2022-11-11 00:43:45+00:00,@ciro_nogueira O que ?  Os 200bi ? Ou à força do povo que já abriu bem os olhos ?,Twitter for iPhone,0,0,
57,Sheriff RN 2️⃣2️⃣,2022-11-11 00:43:42+00:00,"@ciro_nogueira Inacreditável é um post que não diz nada, só deixa todo mundo enfurecido",Twitter for Android,0,0,
58,Alaskan Penguin,2022-11-11 00:43:32+00:00,@ErikaMouraAlves @ciro_nogueira PR finalmente conseguiu apoio das FFA,Twitter Web App,0,0,US State
59,Lucas Rezende 🇧🇷,2022-11-11 00:43:31+00:00,"@ciro_nogueira Ou vocês tomam alguma atitude, ou o Brasil vai à falência",Twitter for iPhone,0,0,
60,Vanderley Medeiros,2022-11-11 00:43:23+00:00,@ciro_nogueira O tic mandou tac em bora?,Twitter for Android,0,0,
61,Hélcio Cândido Martins,2022-11-11 00:43:16+00:00,"@ciro_nogueira Cresça e parade com esse negócio de tic tac, inacreditável! Cresça!",Twitter for Android,0,0,
62,Mucréia Br.🇧🇷🇧🇷🇧🇷,2022-11-11 00:43:06+00:00,"@ciro_nogueira Inacreditável uma jornalista acertar o resultado das eleições 2 meses antes,mãe Dina, inacreditável… https://t.co/0KGaJhVVSK",Twitter for Android,1,0,
63,Alaskan Penguin,2022-11-11 00:43:04+00:00,@ciro_nogueira PR finalmente conseguiu apoio das FFA!,Twitter Web App,0,0,US State
64,Billo Ortiz,2022-11-11 00:42:59+00:00,@ErikaMouraAlves @saritacoelho @ciro_nogueira Calma 4 linhas,Twitter for Android,0,0,
65,sheyla,2022-11-11 00:42:51+00:00,@ciro_nogueira O quê? Vc já virou lulista? Tbm acho!,Twitter for iPhone,0,0,"Boca Raton, FL"
66,🅁🄾🄳🅁🄸🄶🄾 🇧🇷,2022-11-11 00:42:49+00:00,@frutafl0r @hudsonvasconce5 @cirogomes @andrepdt12 Ciro conserte o RJ 🙏,Twitter for iPhone,0,0,Por aí
67,Alaskan Penguin,2022-11-11 00:42:38+00:00,@saritacoelho @ciro_nogueira PR finalmente conseguiu apoio das FFA,Twitter Web App,0,0,US State
68,Valter Sandi,2022-11-11 00:42:38+00:00,"@ciro_nogueira Fala cara, deixa de suspense! Não merecemos isso.",Twitter for iPhone,0,0,
69,smconto,2022-11-11 00:42:36+00:00,@ciro_nogueira fala aí batoré,Twitter Web App,0,0,
70,Lucas O Quimico,2022-11-11 00:42:32+00:00,@ciro_nogueira Inacreditável é políticos que se dizem sérios ficarem de brincadeira com a emoção das pessoas. Inacr… https://t.co/KoU14IrleJ,Twitter Web App,0,0,
71,Geraldo Carvalho -Somos Milhões de Lula-,2022-11-11 00:42:31+00:00,@AnaluSilvano @ciro_nogueira Lido e encaminhado para o departamento do fod@-s https://t.co/TjllCaOKVn,Twitter for Android,0,0,Vale do Capão
72,Uanderson fernandes Patêz (Defteros10),2022-11-11 00:42:28+00:00,@ciro_nogueira Não sei se isso é bom ou ruim.,Twitter for Android,0,0,
73,Palo_mar11,2022-11-11 00:42:28+00:00,@ErikaMouraAlves @ciro_nogueira isso mesmo. Só demostra a covardia dele. Será que ele não ir contra o Loola?,Twitter Web App,0,0,
74,Deciolferrari,2022-11-11 00:42:28+00:00,@ciro_nogueira Faz tic tac agora !!,Twitter for iPhone,0,0,
75,Claudio Souza,2022-11-11 00:42:28+00:00,"@acmacedo Macedo, o Ciro cantou a pedra nas eleições, de que se ganhasse, o Lula voltaria ao poder cheio de odio. O odio cega as pessoas.",Twitter for Android,0,0,
76,💭,2022-11-11 00:42:26+00:00,@robertneves @ciro_nogueira O piti é pelo quê mesmo? Tô voando.,Twitter for Android,1,0,Brasil
77,Iago nicacio,2022-11-11 00:42:26+00:00,"@ciro_nogueira Da última vez que você falou algo foi 50,1 para o outro lado 😕",Twitter for Android,0,0,
78,🇧🇷RMS🇧🇷,2022-11-11 00:42:23+00:00,"@Atualizabrasil2 @ciro_nogueira Eu to levando sol e chuva e fome, minha pressão caiu.",Twitter for Android,0,0,
79,Arthur back,2022-11-11 00:42:03+00:00,@ciro_nogueira Esse é um TRAÍRA E 🤡🤡🤡🤡🤡,Twitter for Android,0,0,
80,QuenadanossujeiteanãoserDeus🇧🇷🇧🇷🇧🇷,2022-11-11 00:42:03+00:00,"@ciro_nogueira Ninguém suporta mais esse joguinho de falar sem dizer. Se não tem o que dizer, não fale.",Twitter for Android,0,0,"Rondônia, Brasil"
81,marco antonio silva,2022-11-11 00:42:02+00:00,"@ciro_nogueira Toda vez, sem exceção, que um jornalista da grande mídia falar em ""o mercado"" substitua por ""meu pat… https://t.co/fyz75c0lkz",Twitter Web App,0,0,
82,Marcio Moura,2022-11-11 00:41:59+00:00,"@LulaOficial Que lindo!!!
Lembro bem do Ciro falando no debate de vc ser um encantador de serpente.
Mas não desejo… https://t.co/V1yR6VdKGd",Twitter for Android,0,0,"Rio de Janeiro, Brasil"
83,Tahdo Vida Loka,2022-11-11 00:41:57+00:00,"Agora, o que eu acho mais engraçado é que, Simone Tebet e Ciro Gomes, caíram matando encima do Presidente Lula, e a… https://t.co/aPDkRNTbwD",Twitter Web App,0,0,Bi🏳️‍🌈
84,Sayonara Moraes 🌹🇧🇷 🙌🏻,2022-11-11 00:41:50+00:00,@ciro_nogueira O povo gosta de solução e não de conversa fiada!,Twitter for Android,0,0,
85,Lis do Brasil 🇧🇷🇧🇷,2022-11-11 00:41:48+00:00,@ErikaMouraAlves @ciro_nogueira Concordo! Preguiça dessas meias palavras que ninguém entende,Twitter for iPhone,0,0,
86,Billo Ortiz,2022-11-11 00:41:42+00:00,"@ciro_nogueira Ministro confio em você,não me desaponte!",Twitter for Android,0,0,
87,Ricochete,2022-11-11 00:41:41+00:00,@ciro_nogueira Pois é block na hora. Dou conta não.,Twitter for iPhone,0,0,
88,José Jacó,2022-11-11 00:41:40+00:00,"@ciro_nogueira O tic tac do relógio, diz que ainda não é o fim.",Twitter for Android,3,2,
89,Ana Cristina,2022-11-11 00:41:37+00:00,@ciro_nogueira A culpa é sua! Leva e trás!! Aceita a desgraça agora!!,Twitter for Android,0,0,
90,Antonio Carlos,2022-11-11 00:41:33+00:00,@robertneves @ciro_nogueira Já tomou leite de boi. Jacú?,Twitter for Android,0,0,
91,Angélica Sousa,2022-11-11 00:41:29+00:00,"@ciro_nogueira Irresponsável,  vc irá pagar por enganar multidões com esses seus tic tac.
Deus cobre e revele todo o mal do seu coração.",Twitter for Android,0,0,Estados Unidos
92,Hugo Rocha,2022-11-11 00:41:26+00:00,"@ciro_nogueira Mais um querendo engajamento apenas... Sempre esse enigma, no final das contas não é nada!!!",Twitter for Android,0,0,
93,Cirlene Almeida,2022-11-11 00:41:23+00:00,@ciro_nogueira 🤔inacreditável??? O que se passa?,Twitter for Android,0,0,
94,Déia Pimentinha,2022-11-11 00:41:21+00:00,@ciro_nogueira O POVO está de saco cheio! Chega de brincadeira. Diga logo o que é.,Twitter for Android,0,0,
95,Carol Cerqueira 🐻☕📚,2022-11-11 00:41:21+00:00,@ciro_nogueira Ele está falando do Sergio Cabral. Não é enigma nenhum.,Twitter for Android,0,0,Salinas da Margarida - Ba
96,Mausy,2022-11-11 00:41:17+00:00,@CatarinaHofer @RaquelBrugnera @ciro_nogueira Qual o outro?,Twitter for Android,1,0,
97,Nossa bandeira jamais será vermelha 🇧🇷🇧🇷🇧🇷,2022-11-11 00:41:13+00:00,@ciro_nogueira Nada né... kkkk,Twitter for Android,0,0,
98,Arthur Rodrigues,2022-11-11 00:41:12+00:00,@ciro_nogueira Não precisou nem assumir para causar estrago na economia... Alguém está supreso aqui???,Twitter for Android,0,0,"Belém, Brasil"
99,ar¥,2022-11-11 00:41:12+00:00,@ciro_nogueira Tic tac pra vc virar Lula 🦑,Twitter for iPhone,0,0,
100,Irlanda Rocha 🇧🇷,2022-11-11 00:41:04+00:00,@ciro_nogueira Aos nobres parlamentares q porventura estejam articulando c/ o Nine:não aceitaremos um egresso do si… https://t.co/E9yL89UhaC,Twitter for Android,0,0,
101,𝐑𝐨𝐝𝐫𝐢𝐠𝐨𝐂𝐚𝐥𝐢𝐱𝐭𝐨 🔴⚫️🇧🇷🇧🇷2️⃣2️⃣,2022-11-11 00:40:52+00:00,@DanielS87239078 @HelioFerro1 @ciro_nogueira Falou pouco mas falou muita merda .. esse desconhece o papel das forças armadas no Brasil .,Twitter for iPhone,2,0,
102,bruns / mãe adotiva de luke,2022-11-11 00:40:40+00:00,"Se ciro tem Paris, Eduardo tem Estados Unidos https://t.co/jxuhWexlaV",Twitter for iPhone,0,0,alice fortescue 
103,Iago nicacio,2022-11-11 00:40:37+00:00,"@ciro_nogueira Da última vez 50,1 foi para o outro lado",Twitter for Android,0,0,
104,IIkeda,2022-11-11 00:40:35+00:00,@ciro_nogueira A vingança nunca é plena... mata a alma e envenena...,Twitter for Android,0,0,"São Paulo, Brasil"
105,Danilo,2022-11-11 00:40:07+00:00,@ciro_nogueira Fale logo.... o povo está ansioso por respostas.....,Twitter for Android,0,0,"Canela, Brasil"
106,Raquel Freitas Da Silva,2022-11-11 00:40:02+00:00,@ciro_nogueira Kkkkkkkk piada de mau gosto,Twitter for Android,0,0,
107,Lisbeth Salander 🇧🇷🇸🇪🚩,2022-11-11 00:39:58+00:00,"@luiz_ressaca Acho q vi coisa, mas o Ciro meio cinza e meio colorido foi demais kkkkkk",Twitter for Android,1,0,"Estocolmo, Suécia"
108,nana,2022-11-11 00:39:54+00:00,@otherwng ele votou no ciro ta,Twitter Web App,0,0,🌊🐈🍣🪴
109,ju,2022-11-11 00:39:46+00:00,@ciro_nogueira Faz o L os judas aí https://t.co/JjhiDj030p,Twitter for Android,0,0,rj
110,Carla Araujo,2022-11-11 00:39:44+00:00,"@Joedestra @ciro_nogueira Também li esse print, isso sim é inacreditável 🤡🤡🤡",Twitter for iPhone,2,0,
111,Rosangela Amorim🇧🇷🇧🇷🇧🇷🇧🇷,2022-11-11 00:39:34+00:00,"@silvapedrop @ciro_nogueira Pois é, tanto é verdade que ele o Ciro não conseguiu nem fazer uma frente boa né votos pra Bolsonaro no Piauí .",Twitter for Android,1,0,Petrolina - PE
112,Heloisa,2022-11-11 00:39:34+00:00,@ciro_nogueira Suas palavras não me convencem! Já mudou de lado?????,Twitter for iPhone,0,0,
113,Bruno Alves Nunes,2022-11-11 00:39:26+00:00,@Clauschvartz @jeffersontltv @ciro_nogueira Ué agora o pessoal de preocupou com o valor do dólar?,Twitter for Android,0,0,Santa Catarina
114,hildebrando trancoso,2022-11-11 00:39:26+00:00,"@ciro_nogueira Esse cara é um terror, cadê o tic tac. Tenho certeza que é um infiltrado no palácio.",Twitter for Android,0,0,"Vila Velha, Brasil"
115,Paulo Guedes de Carvalho🥊🇧🇷,2022-11-11 00:39:20+00:00,"@ciro_nogueira Fala logo, pelo amor 😓",Twitter for Android,0,0,
116,Mauro Mattos,2022-11-11 00:39:15+00:00,@ciro_nogueira Acho que o senhor deveria ter mais respeito com os contribuintes que pagam o seu salário. Existem mi… https://t.co/Vrj9AavBam,Twitter for Android,0,0,
117,Xyz 🌻🌻 🇧🇷💙💚💛,2022-11-11 00:39:02+00:00,"@ciro_nogueira Sim, inacreditável o Divino! 
Brasil acima de tudo, Deus acima de todos!
🇧🇷🇧🇷🇧🇷",Twitter for Android,2,1,
118,Negooh Raidi,2022-11-11 00:39:00+00:00,@saritacoelho @ciro_nogueira Dizem que Bolsonaro fez uma faxina no alto comando. Informação do Allan do VistaPátria,Twitter Web App,0,0,
119,LLcool 🇧🇷🇧🇷🇧🇷,2022-11-11 00:38:59+00:00,@k4c3t3 @ciro_nogueira Kkk tá por dentro né? Tá bem na fila pra coloca no rab0 🤣🤣🤣  Zé droguinha. https://t.co/AjYpBenFh7,Twitter for Android,0,0,"Manaus, Brasil"
120,Patriota,2022-11-11 00:38:50+00:00,@ciro_nogueira Já está preso por crime contra a pátria? Deveria estar!,Twitter Web App,0,0,"Austin, EUA"
121,Giliarde Mendiz,2022-11-11 00:38:50+00:00,@ciro_nogueira o tic tac falhou,Twitter for Android,0,0,
122,Eder CRISTO DE MELLO,2022-11-11 00:38:48+00:00,@ciro_nogueira Vc e um imbecil,Twitter for Android,0,0,
123,Nilson causin,2022-11-11 00:38:45+00:00,@ciro_nogueira Melancias encontradas?,Twitter for Android,0,0,
124,🇧🇷RMS🇧🇷,2022-11-11 00:38:44+00:00,@JLDO_XXII @ciro_nogueira Sério que Meireles pulou fora? Gente pq não tô vendo mas Tv,Twitter for Android,0,0,
125,$eraf 🌹,2022-11-11 00:38:34+00:00,"Ciro avisou que os preços iam cair perto das eleições, e que depois iam subir de novo, assim como aconteceu em 1998… https://t.co/TLYyOWVniQ",Twitter Web App,0,0,"Rio de Janeiro, Brasil"
126,emerson rached 🇧🇷🇧🇷🇧🇷,2022-11-11 00:38:32+00:00,@ciro_nogueira Os melancias foram detectados? Exoneração de generais e brigadeiros?,Twitter Web App,0,0,
127,🇧🇷 Raid,2022-11-11 00:38:32+00:00,"@ciro_nogueira Pelo jeito, a nota de amanhã é bomba!",Twitter for Android,1,0,Alemanha
128,Valdeir Gomes,2022-11-11 00:38:29+00:00,@AntonioCEvan @ciro_nogueira Sério isso fake boatos alguém confirma tá até feiokkkkkkkk,Twitter for Android,0,0,"São Manoel do Paraná, Brasil"
129,Fabiano Da Costa Dias,2022-11-11 00:38:29+00:00,@ciro_nogueira Ué! Não é o salvador da pátria. Faz tempo m L,Twitter for Android,0,0,
130,Vascaíno SAFado 💢🇧🇷,2022-11-11 00:38:29+00:00,"@ciro_nogueira Ah irmão, para de palhaçada",Twitter for Android,0,0,
131,Märciő Ş@,2022-11-11 00:38:28+00:00,"@ciro_nogueira DA 1 TIC TAC SE HÁ RAZÃO.
Algo q vcs esperavam que era com credito, acreditavél e derrepente virou i… https://t.co/rOZun8ePRB",Twitter Web App,0,0,
132,Lucjo,2022-11-11 00:38:28+00:00,@ErikaMouraAlves @saritacoelho @ciro_nogueira Esses dias eu perdi a paciência com um post de direita de um famoso..… https://t.co/10s8J4Dmbq,Twitter for Android,0,0,
133,Ane,2022-11-11 00:38:18+00:00,@ciro_nogueira 👏🏻👏🏻👏🏻👏🏻🇧🇷🇧🇷🇧🇷🇧🇷  Brasil Acima de Tudo e Deus Acima de Todos.🙏🏻🙏🏻🙏🏻,Twitter for iPhone,0,0,
134,Sales Vieira,2022-11-11 00:38:10+00:00,"@danieljosebr “Jura que a galera que engoliu Ernesto Araujo, Damares, Weintraub, Milton Ribeiro, Onix, Ciro Nogueir… https://t.co/xSZWSFH3ZZ",Twitter for iPhone,0,0,
135,Ogaiht Rasec #B22 🇧🇷🏁,2022-11-11 00:38:09+00:00,"@ciro_nogueira Cada dia que passa eu fico mais estarrecido. 
I NA CRE DI TÁ VEL.
Fabio",Twitter for Android,0,0,
136,Ubiratan Casarin Vieira da silva,2022-11-11 00:38:03+00:00,"@ciro_nogueira E aí Ciro, já virou Lulista?",Twitter for Android,0,0,
137,elaineschi,2022-11-11 00:38:02+00:00,"@ciro_nogueira vcs vao matar os brasileiros do coracao! o povo ta nas ruas, nao aceitamos esse resultado!",Twitter Web App,0,0,"Rio de Janeiro, Brasil"
