,name,time,tweet,Source,Likes,RTs,Localization
0,Cleber José Dall' Agnol,2022-11-11 00:10:01+00:00,"@LulaOficial Vai toma no meio do seu cu ladrão safado, e vc seu cupincha que escreveu essa merda, vá chupa a rola do Lula, é o que vc merece",Twitter for Android,0,0,
1,Ingrid Souza,2022-11-11 00:10:01+00:00,@ZAMENZA 🚨 VEJA: olha a reação da minha irmã ao ver Lula na tv https://t.co/9xwBhrH6o0,Twitter for Android,0,0,"Bahia, Brasil"
2,TioChico,2022-11-11 00:10:01+00:00,"@FlavioDino Se esse vagabundo do lula assumir a presidência do Brasil, que eu acho muito difícil, o Brasil quebra l… https://t.co/fYd7u4IKUW",Twitter for Android,0,0,Presidente Juscelino/RN
3,Saymon 🇧🇷🙏🏽,2022-11-11 00:10:00+00:00,@Rconstantino Eu quero o caos vou sonegar muito imposto pra ferrar o governo lula 😋,Twitter for Android,0,0,
4,GZH,2022-11-11 00:10:00+00:00,"ANÁLISE @martasfredo | Depois de reagir mal a discursos de Lula, bolsa afunda com Mantega na transição

https://t.co/bmNyRzdk5t",TweetDeck,0,0,"Porto Alegre, RS"
5,Juliana Dietas,2022-11-11 00:09:59+00:00,"@kimpaim Lula tá cuspindo nacara dos investidores, dos gigante aos pequenos...",Twitter for Android,0,0,
6,CP,2022-11-11 00:09:58+00:00,@janapbianchi @jacknicas Mas aí seria Your Lula,Twitter Web App,0,0,
7,@de_tulza 🚩 #TemGenteComFome,2022-11-11 00:09:58+00:00,Lula se reúne com Congresso e STF: “O Brasil vai voltar à normalidade” https://t.co/yC6uLtkraI via @ptbrasil,Twitter Web App,0,0,Sáo Paulo
8,Rei Guila,2022-11-11 00:09:58+00:00,@danielsaferreir @realpfigueiredo Envergonhante com certeza estamos discutindo aí que agora vamos aposentar porque… https://t.co/3HqMCPcim8,Twitter for Android,0,0,
9,Lula 13 🇧🇷 Feliz de novo!,2022-11-11 00:09:58+00:00,"@RubensNunesMBL Lula foi eleito para fazer um governo social, de fosse pra eleger um presidente que trabalhasse par… https://t.co/Y6SKVB0Svz",Twitter for Android,0,0,Brasil
10,sonia salles,2022-11-11 00:09:56+00:00,@kalliloliveira_ Sai da frete.... Lula ganhou seus babacas! https://t.co/09r06BorEN,Twitter Web App,0,0,
11,𝕯𝖚𝖉𝖘𝖑𝖊𝖒𝖊,2022-11-11 00:09:56+00:00,"É família queria ir na posse do lula,mas vou só ficar querendo mesmo pq não tem como eu tirar 550 do rabicó ne",Twitter for Android,0,0,"Itararé, Brasil"
12,Luiz Pereira,2022-11-11 00:09:56+00:00,"@gremistaleosilv Eu votei nos dois turnos, no LULA, com a Camisa Verde Amarela, porque essas cores são nossas e não… https://t.co/KlLMK75klT",Twitter for Android,0,0,"Canápolis, Brasil"
13,Tiana Pinto,2022-11-11 00:09:56+00:00,@_Janoninho LULA TEM RAZÃO,Twitter Web App,0,0,Recife/PE
14,JujuRS🚩🇧🇷🆘 Lula Presidente ⬅️1️⃣3️⃣,2022-11-11 00:09:56+00:00,"@JamesGBrasil E praticamente nada foi feito para os pobres. A não ser dar bolsas, auxilio, merenda ruim. Em troca d… https://t.co/nTuLHPsrOQ",Twitter for Android,0,0,RS Brasil
15,Cupim de ferro,2022-11-11 00:09:54+00:00,"@henriquefr_prof Criatura, Lula falou em acabar com teto de gastos. O Mercado reagiu. Simples assim. Responsabilida… https://t.co/x2jN9kLdLm",Twitter for Android,0,0,"Recife, Brasil"
16,Edvaldo Ferreira,2022-11-11 00:09:54+00:00,@flferronato @ConsortiLuigi Lula está desesperado atrás de dinheiro precisa manter os tratos com um órgão de impren… https://t.co/IZtmUaIWEf,Twitter for Android,0,0,"Rio de Janeiro, Brasil"
17,Alexandre,2022-11-11 00:09:54+00:00,"@SigaGazetaBR Já cheguei a uma conclusão, o Lula não quer governar.
Ele quer vingança!",Twitter for Android,0,0,"Belo Horizonte, Brasil"
18,Marla Ernst,2022-11-11 00:09:53+00:00,"@kimpaim A inflação é aqui, não ai na Austrália, 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂LULA PRESIDENTE, BOZO PRESO",Twitter for Android,0,0,Porto Alegre/Brasil
19,miguel Vinicius,2022-11-11 00:09:52+00:00,@pablomarcal Lula 2022,Twitter for iPhone,0,0,
20,Bandeira Nacional Pistola,2022-11-11 00:09:51+00:00,Saíram as hashtags oficiais do Lula: #SOSAA #AASalvemoMeuFigado #SeBeberNaoGoverne https://t.co/Ddrl6Z209X,Twitter for Android,0,0,
21,"Não tem jeito, é a Anya brasileira",2022-11-11 00:09:51+00:00,@fromlyx @Higucmd @00joaovitor_ @Andreia19627041 @raphael_fv @BrunoIsac123 NAO EXISTE IMPRIMIR DINHEIRO EM UM PAIS… https://t.co/dscyH9zvud,Twitter Web App,0,0,
22,andrepiaui,2022-11-11 00:09:50+00:00,"@pedrodoria Mas o presidente ainda é Bolsonaro e o ministro da Fazenda é o Guedes.

Cobre deles, até dezembro.

Qua… https://t.co/KDBhrMTFVA",Twitter for Android,0,0,"Teresina, Piauí, Brasil"
23,Margot Holanda,2022-11-11 00:09:50+00:00,"@LulaOficial Lula , vc é o cara ! Sabe agregar a paz no seu povo ! 🙏",Twitter for iPhone,0,0,"Recife, Brasil"
24,carvalho,2022-11-11 00:09:50+00:00,"@senadorhumberto Quero ver se no governo Lula, ele vai continuar sonegado impostos!!!",Twitter for Android,0,0,
25,hashira,2022-11-11 00:09:49+00:00,Comprei 500 dolares ontem e com o que o lula falou ganhei 200 reais em 1 dia. Faz o L!! Picanha ja saiu de graca pra mim,Twitter for iPhone,0,0,
26,missinhocarioca,2022-11-11 00:09:49+00:00,"@TerraBrasilnot Chamou tanto o Lula de ladrão, agora está elogiando. Hipocrisia pura.",Twitter for Android,0,0,
27,Ruan Valle Foox,2022-11-11 00:09:48+00:00,O próximo Governo tem que ter responsabilidade fiscal. É necessário gastos extraordinários já no primeiro ano de Lu… https://t.co/WDmCZ5QNLs,Twitter Web App,0,0,
28,corujautx 🇧🇷🇦🇺,2022-11-11 00:09:47+00:00,"@carapanarana Tem uma outra explicação: o desenho proposto pelo Lula é ruim.
É muito mais simples explicar isso do… https://t.co/bsJfXaXYZp",Twitter for iPad,0,0,"Sydney, New South Wales"
29,Fabio & Claudia 🏆 🏆🏆da Liberta,2022-11-11 00:09:47+00:00,@EspartanoTrader @leiatheinvestor Pqp essa porra de faz o L è chato principalmente quando eu n votei no animal do Lula.,Twitter for iPhone,0,0,
30,Sergio fernandes,2022-11-11 00:09:47+00:00,@_Janoninho LULA TEM RAZÃO. MERCADO ABESTADO.,Twitter for iPhone,0,0,
31,Gilberto Weber,2022-11-11 00:09:47+00:00,"Ilustrando a reação do ""Mercado"" ao discurso do Lula hj.
PS: não conheço o autor da arte para dar o crédito. https://t.co/mNRXYw8DSk",Twitter for Android,0,0,
32,Master Chief 22 🇧🇷🔱,2022-11-11 00:09:47+00:00,"@TerraBrasilnot PSDB tá plantando fake news para viabilizar as regulação das redes sociais, pois o projeto já está… https://t.co/c2QpxpnGo5",Twitter for Android,0,0,
33,Ratatouille,2022-11-11 00:09:46+00:00,"@brittojr Já deu Cabrito, Lula defecou pela boca, e agora o mercado financeiro está totalmente desesperado, o resul… https://t.co/oLByG4dWdv",Twitter for Android,0,0,
34,@Pedro-Borges 13,2022-11-11 00:09:46+00:00,@UOLNoticias A reação dos economistas bolsominios foi astronômica. Pareciam guerreiros da guerra santa querendo destruir o Lula.,Twitter for Android,0,0,"Belo Horizonte, Minas Gerais."
35,Moyses Albino,2022-11-11 00:09:46+00:00,@Pitty Fala sério... o Lula nem assumiu e nossa economia já tá ruindo!,Twitter for Android,0,0,
36,Valéria Blado,2022-11-11 00:09:45+00:00,@randolfeap Lula pensa que está fazendo comício para os pobres que acredita em tudo que ele diz,Twitter for iPhone,0,0,
37,L Não!,2022-11-11 00:09:44+00:00,"@andremassolini @rosana Acho que vc que está angustiado, pq  sabe q lula é ladrão e fica aí fingindo que acredita q… https://t.co/EGL8tKGHgk",Twitter for Android,0,0,
38,Luiz Fernando Aparecido Silva da Silveira,2022-11-11 00:09:44+00:00,"@sandroboliveir Exatamente isso, faz tempo q esses cara falam isso, vc já viu alguma notícia do vinculando o MST ao… https://t.co/nYIcUOrXLS",Twitter for Android,0,0,
39,Fernando M.de Souza,2022-11-11 00:09:44+00:00,"@roxmo Se fosse o contrario heim !! Imagina eles apanhando porque votaram no Lula. 

@DatenaOficial",Twitter for Android,0,0,"Barueri, Brasil"
40,Francisco Castro,2022-11-11 00:09:43+00:00,"O presidente Lula diz que ninguém deve ter vergonha de vestir a camisa verde e amarelo do Brasil.

https://t.co/qAtAYfQaZ6",Twitter Web App,0,0,"São Paulo, Brasil"
41,operário Lulista 13 Z 🇧🇷🇷🇺🇷🇺🇨🇺🇷🇺,2022-11-11 00:09:43+00:00,O mercado que se dane.o que importa e o pai LULA.,Twitter for Android,0,0,"Belo Horizonte, Brasil"
42,Tri da américa 🏆,2022-11-11 00:09:43+00:00,"@andrelucio2403 @Rafawoll @PedroRonchi2 Eu não tenho politico de estimação.

O mercado teve momentos tensos sim nos… https://t.co/G2h72KGf7i",Twitter for iPhone,0,0,"Rio de Janeiro, Brasil"
43,abraao braz,2022-11-11 00:09:42+00:00,Filho do lula https://t.co/ym6vlOfAlA,Twitter for Android,0,0,
44,Margô Alice Neff de Ávila,2022-11-11 00:09:42+00:00,@marcelinomr @OscarFilho Hahahaha que piada! Lula tentou expulsar jornalista americano que disse que ele é cachaceiro.  E disse a verdade!,Twitter for Android,0,0,"Porto Alegre, Brasil"
45,emi🖊,2022-11-11 00:09:41+00:00,"@renattadcsilva @choquei KKKKKKKKLLLL chora mais gadinha, lula eleitoooo",Twitter for iPhone,0,0,bangtan meu lar💕
46,Vini,2022-11-11 00:09:41+00:00,"@raqnery @JosAgui66834564 @AndreJanonesAdv Ah então quando a coisa é boa é na conta do lula, e ruim no bolsonaro? Hipócritas",Twitter for Android,0,0,
47,brasil123,2022-11-11 00:09:41+00:00,Euro e dólar disparam com declarações de Lula https://t.co/Yf4WDfmEXS,Twitter Web App,0,0,Brasil
