,name,time,tweet,Source,Likes,RTs,Localization
0,Mari,2022-11-11 00:29:59+00:00,Irei para Brasília encontrar com Simone Tabet                                     (Nos meus sonhos),Twitter for iPhone,0,0,
1,mario,2022-11-11 00:21:37+00:00,@simonetebetbr Se vende bem baratinho.Tabet,Twitter for iPhone,0,0,"Texas, USA"
2,Underishah,2022-11-10 23:55:09+00:00,"@monark Antônio Tabet, Elias Khalil e tantos outros desenharam pra vc sobre o perigo de espalhar fake news, e vc nã… https://t.co/QRM1Fl25ro",Twitter for Android,0,0,
3,General Benjamin Arrola,2022-11-10 23:06:41+00:00,rpz depois da bruxa da tabet agora vcs estão montando fã clube pra esse fdp do alckmin? não é possível kkkkkkkkkkkk https://t.co/gaJlE0k7cy,Twitter for Android,3,0,ele/dele 
4,Fabiano Carvalho,2022-11-10 22:44:25+00:00,@simonetebetbr Tabet você traiu as pessoas que achavam que você seria diferente dos políticos que estiveram envolvidos em corrupção do PT,Twitter for iPhone,1,1,
5,Товарищ Аманда (｡•̀ᴗ-)✧,2022-11-10 22:41:21+00:00,eu fui. os sebos tavam massa e eu acho que eu vi meu professor que é a cara do Antônio Tabet,Twitter for Android,1,0,
6,Augusto Chin. 🐔,2022-11-10 22:24:10+00:00,"Falar que a Simone Tabet representa nova política ou terceira via, é a mesma coisa de falar que o Renan Calheiros r… https://t.co/hw9z4ibj8B",Twitter Web App,0,0,
7,paulojp,2022-11-10 22:13:35+00:00,@carollinesarda kkkk olha isso Carol!! vi no twt do tabet https://t.co/789C3MSpjY,Twitter Web App,8,0,
8,witness,2022-11-10 21:53:57+00:00,@itscxpimreserva tenho consciência de td isso. E diante disso eu ñ sei oq fazer sabe? eu quero acreditar q ela tenh… https://t.co/mzzmufHInP,Twitter for Android,0,0,
9,DAY 1💗,2022-11-10 21:37:15+00:00,"QUE ÓDIO, SE EU FOSSE PRA UNLOCK CCXP22 EU IRIA CONHECER:
-BRUNA MARQUEZINE
-GAULES
-DOUGLAS DO BBB
-ANTONIO TABET https://t.co/dCAxqKfP7Z",Twitter for Android,0,0,Brasil
10,Tropa do Nine (fleckz XYD),2022-11-10 21:04:55+00:00,"ngm nunca viu o Tabet e a Scarlett Johansson no msm lugar 

então https://t.co/Lx0UuAyQwf",Twitter for iPhone,11,0,"Balneário Camboriú, Brasil"
