,name,time,tweet,Localization;;
0,1586479349200470018,,Gedel Vieira Lima esse corrupto condenado cumpriu prisão vem falar mal do PR Bolsonaro um homem honesto idôneo se aliando a essa quadrilha do PT do Lula ⁦@jairbolsonaro⁩ ⁦@SF_Moro⁩ ⁦@deltanmd⁩ ⁦@ciro_nogueira⁩ ⁦@Rconstantino⁩ ⁦⁦@flferronato⁩ https://t.co/kzsz9SpsEn,;;
"1,1586478653130436609,,""Quando o Bolsonaro for reeleito eu vou fazer um churrasco aqui em casa.";;
"Quem votou no Bolsonaro vai levar carne, quem votou no Ciro vai levar cerveja e quem votou no Lula só de não levar as coisas da minha casa tá de bom tamanho.😂"",";;
"2,1586473045019234304,,""Se você defendeu Ciro Gomes e continua lutando pelo projeto nacional de desenvolvimento possuí o dever moral de não só votar, mas defender a candidatura do Lula contra o Bolsonaro, em defesa de tudo aquilo que acreditamos e construimos em todo esse tempo, não podemos recuar."",";;
"3,1586471383382605832,,""Renata Vasconcelos, com um sorriso de orelha a orelha, interrompe o programa do Mion pra divulgar a pesquisa totalmente enviesada do Ipec (que, segundo Ciro Gomes, venderiam a mãe por dinheiro) em que Lula estaria 120 pontos na frente de Bolsonaro. Vão sonhando."",";;
"4,1586466996232790021,,""Veja os números da última pesquisa Datafolha divulgada antes das eleições 2022.";;
;;
By @diariodegoias;;
;;
👉 https://t.co/pd24RgTFBX;;
;;
"#Política #bolsonaro #ciro #eleicoes2022 #lula #simone #política https://t.co/v3rng4OLiJ"",";;
"5,1586463327743447040,,""LULA atrai mais indecisos que votaram em Tebet e Ciro do que Bolsonaro, após debate da Globo https://t.co/D9qK4HO2gH"",";;
"6,1586462574521987072,,""Still kinda insane to me there's more Tebet-Lula &amp"; Ciro-Bolsonaro voters. &amp; first glance you'd think that would be inverted lol 😂
;;
"Link: https://t.co/g30jtXRhB1 https://t.co/jiypYAu2Vc"",";;
"7,1586454915379232768,,""Gente,  o lance de virar voto é de branco/nulo, ou dos que votaram em simone e ciro, pra algum dos candidatos (Lula ou Bolsonaro). Eu não acredito que alguém que votou em Lula no primeiro vote em Bolsonaro no segundo, nem no contrário. Não se cansem a toa, tá bom?"",";;
"8,1586452792457433088,,""Se Ciro Nogueira estiver correto nesses dados:";;
;;
SP: Bolsonaro 59,5×40,5 Lula;;
MG: Bolsonaro 53×47 Lula;;
;;
"Se esses dados tiverem corretos já era pro Nine Fingers."",";;
"9,1586449323302477826,,""Pq o Pool de Pesquisas ( Data Folha , iPEC , Genial e Atlas ) ";;
;;
A Vantagem alta pro Lula Nada mais é que um truque ...;;
;;
Eles sabem que Bolsonaro tem de 3 a 5 % de voto de Chegada ...;;
;;
Coloca em empate técnico seria suicídio.;;
;;
"@cafecomferri @ciro_nogueira @bruno_carioc2"",";;
"10,1586441567946305536,,""Sou trabalhista. Sou PDT. Sou Ciro. E agora estou Lula.";;
;;
Por mais e não menos humanidade.;;
Por mais e não menos democracia.;;
Por mais e não menos futuro.;;
Por mais e não menos Brasil.;;
;;
"Sou 12. E estou 12+1. Estou 13. Pra derrotar Bolsonaro! ✊🌹 https://t.co/isRyDVagRo"",";;
"11,1586437715716935682,,""LULA atrai mais indecisos que votaram em Tebet e Ciro do que Bolsonaro, após debate da Globo https://t.co/wKNHTUGv0K"",";;
"12,1586433849201815553,,""pro ciro, falta coragem, pra tebet, inteligência, pro lula, honestidade, e pro bolsonaro falta um dia"",";;
"13,1586425865143226369,,""Lula estará eleito amanhã se mantiver sua votação do 1ºT e conquistar pelos menos 30% dos votos que foram para Simone e Ciro, ainda que Bolsonaro herde TODOS os outros votos. Isso num mesmo cenário de votos válidos e abstenção. A ver."",";;
"14,1586422309023551488,,""Sairei dessa campanha que na reta final passei a apoiar Lula, pois antes fui eleitor declarado de Ciro Gomes para chegar em 2026 sem candidato.";;
;;
Irei adotar tom crítico com Lula vencendo após estas eleições assim como fui contra Bolsonaro.;;
;;
"Meu voto é contra Bolsonaro."",";;
15,1586421861667282944,,Ciro Nogueira says Lula and Bonner lost debate to Bolsonaro https://t.co/iulUWDkgL7,;;
"16,1586420703066296320,,""Bem que o Bolsonaro, Lula, Ciro e Simone podia governar o país juntos né?";;
"Pensa beber cerveja, comer picanha, sem nome no Serasa, 5 mil na conta e da tiro pro alto kkk"",";;
17,1586417805733384192,,Ciro Nogueira diz que Lula e Bonner perderam debate para Bolsonaro https://t.co/UlsjP0F69X https://t.co/iTt3EBOi7q,;;
18,1586414495127465984,,tenho a plena certeza q o lee votaria no bolsonaro e a lia seria ciro porém sem opções votaria no lula,;;
"19,1586409691856371716,,""Como eleitor do Ciro Gomes e defensor do PND, minha rejeição ao Lula PT 13 é muito grande, mas infinitamente maior é a minha rejeição ao Bolsonaro Genocida Negacionista Tchutchuca Canibal Pedófilo Psicopata Pró-ditadura autoritário Miliciano Racista Machista Homofóbico"",";;
"20,1586408481615073281,,""Indecisos, isentões, pessoas que votaram Ciro/Tebet ou outro. ";;
Peço educadamente a vcs para pesquisarem as propostas e planos de governo de Bolsonaro e Lula. ;;
"Vc pode até não gostar do Bolsonaro, tudo bem, mas compare as propostas de governo de ambos."",";;
"21,1586406545184604161,,""Debate com Ciro: Educação em tempo integral com meta de 30 anos, reindustrialização, Reforma Tributária, Ciência e Tecnologia, Segurança Nacional, Saúde…";;
;;
Debate com Lula e Bolsonaro: Corrupção, mentira, aborto, golpe, ameaça comunista, ameaça fascista.;;
;;
"A depressão bate forte! https://t.co/E8rakiS6QX"",";;
22,1586405026842308609,,fora lula e fora bolsonaro i ciro e quem tiver https://t.co/bRZk1DB7Ty,;;
