,Tweets,len,ID,Date,Source,Likes,RTs,User Location,Geo,Coordinates
0,"Se o Ciro tudo faz para que Lula não vença no primeiro turno e diz que nao votará nele no segundo turno, nao resta dúvida lógica de que torce pela vitória de Bolsonaro.",168,1566915659807719424,2022-09-05 22:26:19+00:00,Twitter for iPhone,35987,4156,Brasil,,
1,TSE manda Eduardo Bolsonaro apagar post sobre Lula apoiar invasão a igrejas https://t.co/zSjBHmLw8s,99,1566867303014203394,2022-09-05 19:14:10+00:00,Zapier.com,6821,936,Brasil,,
2,'Gasolina grátis amanhã': apoiadores de Lula ironizam Bolsonaro após Ipec https://t.co/6mE1heTW4T,97,1566958620058828800,2022-09-06 01:17:02+00:00,Zapier.com,6955,863,Brasil,,
3,A Pesquisa Ipec é muito ruim para Bolsonaro. Aumentou a distancia no Sudeste em favor de Lula. O presidente perdeu pontos entre os mais pobres. Diminuiu onde achava que iria crescer. #oglobonaseleicoes,201,1566955329539260419,2022-09-06 01:03:57+00:00,Twitter for iPhone,12406,1053,,,
4,"Embora os macrodados da pesquisa Ipec desta semana apontem estabilidade na corrida eleitoral, a verdade é que eles revelam uma possível deterioração da candidatura Bolsonaro na comparação com o levantamento anterior e um eventual robustecimento de Lula.",253,1567110745690722306,2022-09-06 11:21:31+00:00,Twitter for iPhone,7153,687,"São Paulo, Brasil.",,
5,"Pau mandado de Lula, Janones ataca novamente com mentiras sobre o Presidente Bolsonaro. A bola da vez é a suspensão do piso salarial da enfermagem. Compartilhem a verdade!  #BolsonaroPresidente22 https://t.co/mddm2AgqXx",219,1566806746777124867,2022-09-05 15:13:32+00:00,Twitter for iPhone,3083,995,Niterói - Rio de Janeiro,,
6,"#JornaldaManhã | Pesquisa JP News/Mapa: Bolsonaro (PL) tem 57,1% e Lula (PT) 22,7%; levantamento estimulado foi feito com 1.204 entrevistados de Santa Catarina por telefone   📺 Confira na JP News https://t.co/uqPaatrWrJ",219,1566773140767875073,2022-09-05 13:00:00+00:00,Twitter Media Studio,3963,1125,São Paulo / Brazil,,
7,"ATENÇÃO: IPEC mostra que Bolsonaro perdeu 1 ponto e Lula segue na liderança isolada com 49,4% dos votos válidos. Falta muito pouco para a derrota do miliciano!",159,1566944781439229955,2022-09-06 00:22:02+00:00,Twitter for Android,18315,1776,,,
8,"Janones faz fakenews, Alexandre INERTE. UOL faz fakenews Alexandre INERTE, Humberto Costa faz fakenews Alexandre INERTE, Lula faz Fakenews Alexandre INERTE. Bolsonaro diz a verdade, Alexandre age rapidamente.",208,1567143980227239938,2022-09-06 13:33:35+00:00,Twitter for iPhone,1742,607,"Mato Grosso, Brasil",,
9,"Ciro Gomes acaba de dizer no Pânico que ""Lula tem filho ladrão"".   E que Bolsonaro tem filho que ""responde"" por denúncia de corrupção.   No Pânico.",147,1566821306456236032,2022-09-05 16:11:24+00:00,Twitter Web App,42800,2433,"ÜT: -23.601404,-46.695262",,
